tabla,fila_index,resellerkey,columna_diferente,valor_postgres,valor_sqlserver
dim_reseller,9,10,annualrevenue,80000,80000.0
dim_reseller,10,11,annualrevenue,80000,80000.0
dim_reseller,11,12,annualrevenue,150000,150000.0
dim_reseller,12,13,annualrevenue,80000,80000.0
dim_reseller,13,14,annualrevenue,100000,100000.0
dim_reseller,14,15,annualrevenue,300000,300000.0
dim_reseller,15,16,annualrevenue,80000,80000.0
dim_reseller,16,17,annualrevenue,100000,100000.0
dim_reseller,17,18,annualrevenue,300000,300000.0
dim_reseller,18,19,annualrevenue,100000,100000.0
dim_reseller,19,20,annualrevenue,100000,100000.0
dim_reseller,20,21,annualrevenue,300000,300000.0
dim_reseller,21,22,annualrevenue,80000,80000.0
dim_reseller,22,23,annualrevenue,150000,150000.0
dim_reseller,23,24,annualrevenue,300000,300000.0
dim_reseller,24,25,annualrevenue,80000,80000.0
dim_reseller,25,26,annualrevenue,150000,150000.0
dim_reseller,26,27,annualrevenue,300000,300000.0
dim_reseller,27,28,annualrevenue,80000,80000.0
dim_reseller,28,29,annualrevenue,150000,150000.0
dim_reseller,29,30,annualrevenue,300000,300000.0
dim_reseller,30,31,annualrevenue,80000,80000.0
dim_reseller,31,32,annualrevenue,150000,150000.0
dim_reseller,32,33,annualrevenue,300000,300000.0
dim_reseller,33,34,annualrevenue,80000,80000.0
dim_reseller,34,35,annualrevenue,150000,150000.0
dim_reseller,35,36,annualrevenue,300000,300000.0
dim_reseller,36,37,annualrevenue,80000,80000.0
dim_reseller,37,38,annualrevenue,150000,150000.0
dim_reseller,38,39,annualrevenue,300000,300000.0
dim_reseller,39,40,annualrevenue,80000,80000.0
dim_reseller,40,41,annualrevenue,150000,150000.0
dim_reseller,41,42,annualrevenue,300000,300000.0
dim_reseller,42,43,annualrevenue,80000,80000.0
dim_reseller,43,44,annualrevenue,150000,150000.0
dim_reseller,44,45,annualrevenue,300000,300000.0
dim_reseller,45,46,annualrevenue,80000,80000.0
dim_reseller,46,47,annualrevenue,150000,150000.0
dim_reseller,47,48,annualrevenue,300000,300000.0
dim_reseller,48,49,annualrevenue,80000,80000.0
dim_reseller,49,50,annualrevenue,150000,150000.0
dim_reseller,50,51,annualrevenue,300000,300000.0
dim_reseller,51,52,annualrevenue,30000,30000.0
dim_reseller,52,53,annualrevenue,150000,150000.0
dim_reseller,53,54,annualrevenue,300000,300000.0
dim_reseller,54,55,annualrevenue,30000,30000.0
dim_reseller,55,56,annualrevenue,150000,150000.0
dim_reseller,56,57,annualrevenue,300000,300000.0
dim_reseller,57,58,annualrevenue,30000,30000.0
dim_reseller,58,59,annualrevenue,150000,150000.0
dim_reseller,59,60,annualrevenue,300000,300000.0
dim_reseller,60,61,annualrevenue,30000,30000.0
dim_reseller,61,62,annualrevenue,150000,150000.0
dim_reseller,62,63,annualrevenue,300000,300000.0
dim_reseller,63,64,annualrevenue,30000,30000.0
dim_reseller,64,65,annualrevenue,150000,150000.0
dim_reseller,65,66,annualrevenue,300000,300000.0
dim_reseller,66,67,annualrevenue,30000,30000.0
dim_reseller,67,68,annualrevenue,150000,150000.0
dim_reseller,68,69,annualrevenue,300000,300000.0
dim_reseller,69,70,annualrevenue,30000,30000.0
dim_reseller,70,71,annualrevenue,150000,150000.0
dim_reseller,71,72,annualrevenue,300000,300000.0
dim_reseller,72,73,annualrevenue,30000,30000.0
dim_reseller,73,74,annualrevenue,150000,150000.0
dim_reseller,74,75,annualrevenue,300000,300000.0
dim_reseller,75,76,annualrevenue,30000,30000.0
dim_reseller,76,77,annualrevenue,150000,150000.0
dim_reseller,77,78,annualrevenue,300000,300000.0
dim_reseller,78,79,annualrevenue,30000,30000.0
dim_reseller,79,80,annualrevenue,150000,150000.0
dim_reseller,80,81,annualrevenue,300000,300000.0
dim_reseller,81,82,annualrevenue,30000,30000.0
dim_reseller,82,83,annualrevenue,150000,150000.0
dim_reseller,83,84,annualrevenue,300000,300000.0
dim_reseller,84,85,annualrevenue,80000,80000.0
dim_reseller,85,86,annualrevenue,150000,150000.0
dim_reseller,86,87,annualrevenue,300000,300000.0
dim_reseller,87,88,annualrevenue,80000,80000.0
dim_reseller,88,89,annualrevenue,150000,150000.0
dim_reseller,89,90,annualrevenue,300000,300000.0
dim_reseller,90,91,annualrevenue,80000,80000.0
dim_reseller,91,92,annualrevenue,150000,150000.0
dim_reseller,92,93,annualrevenue,300000,300000.0
dim_reseller,93,94,annualrevenue,80000,80000.0
dim_reseller,94,95,annualrevenue,150000,150000.0
dim_reseller,95,96,annualrevenue,300000,300000.0
dim_reseller,96,97,annualrevenue,80000,80000.0
dim_reseller,97,98,annualrevenue,150000,150000.0
dim_reseller,98,99,annualrevenue,300000,300000.0
dim_reseller,99,100,annualrevenue,100000,100000.0
dim_reseller,100,101,annualrevenue,100000,100000.0
dim_reseller,101,102,annualrevenue,300000,300000.0
dim_reseller,102,103,annualrevenue,80000,80000.0
dim_reseller,103,104,annualrevenue,100000,100000.0
dim_reseller,104,105,annualrevenue,300000,300000.0
dim_reseller,105,106,annualrevenue,80000,80000.0
dim_reseller,106,107,annualrevenue,100000,100000.0
dim_reseller,107,108,annualrevenue,300000,300000.0
dim_reseller,108,109,annualrevenue,80000,80000.0
dim_reseller,109,110,annualrevenue,30000,30000.0
dim_reseller,110,111,annualrevenue,80000,80000.0
dim_reseller,111,112,annualrevenue,150000,150000.0
dim_reseller,112,113,annualrevenue,30000,30000.0
dim_reseller,113,114,annualrevenue,80000,80000.0
dim_reseller,114,115,annualrevenue,150000,150000.0
dim_reseller,115,116,annualrevenue,30000,30000.0
dim_reseller,116,117,annualrevenue,80000,80000.0
dim_reseller,117,118,annualrevenue,150000,150000.0
dim_reseller,118,119,annualrevenue,80000,80000.0
dim_reseller,119,120,annualrevenue,80000,80000.0
dim_reseller,120,121,annualrevenue,150000,150000.0
dim_reseller,121,122,annualrevenue,80000,80000.0
dim_reseller,122,123,annualrevenue,100000,100000.0
dim_reseller,123,124,annualrevenue,300000,300000.0
dim_reseller,124,125,annualrevenue,80000,80000.0
dim_reseller,125,126,annualrevenue,100000,100000.0
dim_reseller,126,127,annualrevenue,300000,300000.0
dim_reseller,127,128,annualrevenue,100000,100000.0
dim_reseller,128,129,annualrevenue,100000,100000.0
dim_reseller,129,130,annualrevenue,300000,300000.0
dim_reseller,130,131,annualrevenue,80000,80000.0
dim_reseller,131,132,annualrevenue,150000,150000.0
dim_reseller,132,133,annualrevenue,300000,300000.0
dim_reseller,133,134,annualrevenue,80000,80000.0
dim_reseller,134,135,annualrevenue,150000,150000.0
dim_reseller,135,136,annualrevenue,300000,300000.0
dim_reseller,136,137,annualrevenue,80000,80000.0
dim_reseller,137,138,annualrevenue,150000,150000.0
dim_reseller,138,139,annualrevenue,300000,300000.0
dim_reseller,139,140,annualrevenue,80000,80000.0
dim_reseller,140,141,annualrevenue,150000,150000.0
dim_reseller,141,142,annualrevenue,300000,300000.0
dim_reseller,142,143,annualrevenue,80000,80000.0
dim_reseller,143,144,annualrevenue,150000,150000.0
dim_reseller,144,145,annualrevenue,300000,300000.0
dim_reseller,145,146,annualrevenue,80000,80000.0
dim_reseller,146,147,annualrevenue,150000,150000.0
dim_reseller,147,148,annualrevenue,300000,300000.0
dim_reseller,148,149,annualrevenue,80000,80000.0
dim_reseller,149,150,annualrevenue,150000,150000.0
dim_reseller,150,151,annualrevenue,300000,300000.0
dim_reseller,151,152,annualrevenue,80000,80000.0
dim_reseller,152,153,annualrevenue,150000,150000.0
dim_reseller,153,154,annualrevenue,300000,300000.0
dim_reseller,154,155,annualrevenue,80000,80000.0
dim_reseller,155,156,annualrevenue,150000,150000.0
dim_reseller,156,157,annualrevenue,300000,300000.0
dim_reseller,157,158,annualrevenue,80000,80000.0
dim_reseller,158,159,annualrevenue,150000,150000.0
dim_reseller,159,160,annualrevenue,300000,300000.0
dim_reseller,160,161,annualrevenue,30000,30000.0
dim_reseller,161,162,annualrevenue,150000,150000.0
dim_reseller,162,163,annualrevenue,300000,300000.0
dim_reseller,163,164,annualrevenue,30000,30000.0
dim_reseller,164,165,annualrevenue,150000,150000.0
dim_reseller,165,166,annualrevenue,300000,300000.0
dim_reseller,166,167,annualrevenue,30000,30000.0
dim_reseller,167,168,annualrevenue,150000,150000.0
dim_reseller,168,169,annualrevenue,300000,300000.0
dim_reseller,169,170,annualrevenue,30000,30000.0
dim_reseller,170,171,annualrevenue,150000,150000.0
dim_reseller,171,172,annualrevenue,300000,300000.0
dim_reseller,172,173,annualrevenue,30000,30000.0
dim_reseller,173,174,annualrevenue,150000,150000.0
dim_reseller,174,175,annualrevenue,300000,300000.0
dim_reseller,175,176,annualrevenue,30000,30000.0
dim_reseller,176,177,annualrevenue,150000,150000.0
dim_reseller,177,178,annualrevenue,300000,300000.0
dim_reseller,178,179,annualrevenue,30000,30000.0
dim_reseller,179,180,annualrevenue,150000,150000.0
dim_reseller,180,181,annualrevenue,300000,300000.0
dim_reseller,181,182,annualrevenue,30000,30000.0
dim_reseller,182,183,annualrevenue,150000,150000.0
dim_reseller,183,184,annualrevenue,300000,300000.0
dim_reseller,184,185,annualrevenue,30000,30000.0
dim_reseller,185,186,annualrevenue,150000,150000.0
dim_reseller,186,187,annualrevenue,300000,300000.0
dim_reseller,187,188,annualrevenue,30000,30000.0
dim_reseller,188,189,annualrevenue,150000,150000.0
dim_reseller,189,190,annualrevenue,300000,300000.0
dim_reseller,190,191,annualrevenue,30000,30000.0
dim_reseller,191,192,annualrevenue,150000,150000.0
dim_reseller,192,193,annualrevenue,300000,300000.0
dim_reseller,193,194,annualrevenue,80000,80000.0
dim_reseller,194,195,annualrevenue,150000,150000.0
dim_reseller,195,196,annualrevenue,300000,300000.0
dim_reseller,196,197,annualrevenue,80000,80000.0
dim_reseller,197,198,annualrevenue,150000,150000.0
dim_reseller,198,199,annualrevenue,300000,300000.0
dim_reseller,199,200,annualrevenue,80000,80000.0
dim_reseller,200,201,annualrevenue,150000,150000.0
dim_reseller,201,202,annualrevenue,300000,300000.0
dim_reseller,202,203,annualrevenue,80000,80000.0
dim_reseller,203,204,annualrevenue,150000,150000.0
dim_reseller,204,205,annualrevenue,300000,300000.0
dim_reseller,205,206,annualrevenue,80000,80000.0
dim_reseller,206,207,annualrevenue,150000,150000.0
dim_reseller,207,208,annualrevenue,300000,300000.0
dim_reseller,208,209,annualrevenue,100000,100000.0
dim_reseller,209,210,annualrevenue,100000,100000.0
dim_reseller,210,211,annualrevenue,300000,300000.0
dim_reseller,211,212,annualrevenue,80000,80000.0
dim_reseller,212,213,annualrevenue,100000,100000.0
dim_reseller,213,214,annualrevenue,300000,300000.0
dim_reseller,214,215,annualrevenue,80000,80000.0
dim_reseller,215,216,annualrevenue,100000,100000.0
dim_reseller,216,217,annualrevenue,300000,300000.0
dim_reseller,217,218,annualrevenue,80000,80000.0
dim_reseller,218,219,annualrevenue,30000,30000.0
dim_reseller,219,220,annualrevenue,80000,80000.0
dim_reseller,220,221,annualrevenue,150000,150000.0
dim_reseller,221,222,annualrevenue,30000,30000.0
dim_reseller,222,223,annualrevenue,80000,80000.0
dim_reseller,223,224,annualrevenue,150000,150000.0
dim_reseller,224,225,annualrevenue,30000,30000.0
dim_reseller,225,226,annualrevenue,80000,80000.0
dim_reseller,226,227,annualrevenue,150000,150000.0
dim_reseller,227,228,annualrevenue,80000,80000.0
dim_reseller,228,229,annualrevenue,80000,80000.0
dim_reseller,229,230,annualrevenue,150000,150000.0
dim_reseller,230,231,annualrevenue,80000,80000.0
dim_reseller,231,232,annualrevenue,100000,100000.0
dim_reseller,232,233,annualrevenue,300000,300000.0
dim_reseller,233,234,annualrevenue,80000,80000.0
dim_reseller,234,235,annualrevenue,100000,100000.0
dim_reseller,235,236,annualrevenue,300000,300000.0
dim_reseller,236,237,annualrevenue,100000,100000.0
dim_reseller,237,238,annualrevenue,100000,100000.0
dim_reseller,238,239,annualrevenue,300000,300000.0
dim_reseller,239,240,annualrevenue,80000,80000.0
dim_reseller,240,241,annualrevenue,150000,150000.0
dim_reseller,241,242,annualrevenue,300000,300000.0
dim_reseller,242,243,annualrevenue,80000,80000.0
dim_reseller,243,244,annualrevenue,150000,150000.0
dim_reseller,244,245,annualrevenue,300000,300000.0
dim_reseller,245,246,annualrevenue,80000,80000.0
dim_reseller,246,247,annualrevenue,150000,150000.0
dim_reseller,247,248,annualrevenue,300000,300000.0
dim_reseller,248,249,annualrevenue,80000,80000.0
dim_reseller,249,250,annualrevenue,150000,150000.0
dim_reseller,250,251,annualrevenue,300000,300000.0
dim_reseller,251,252,annualrevenue,80000,80000.0
dim_reseller,252,253,annualrevenue,150000,150000.0
dim_reseller,253,254,annualrevenue,300000,300000.0
dim_reseller,254,255,annualrevenue,80000,80000.0
dim_reseller,255,256,annualrevenue,150000,150000.0
dim_reseller,256,257,annualrevenue,300000,300000.0
dim_reseller,257,258,annualrevenue,80000,80000.0
dim_reseller,258,259,annualrevenue,150000,150000.0
dim_reseller,259,260,annualrevenue,300000,300000.0
dim_reseller,260,261,annualrevenue,80000,80000.0
dim_reseller,261,262,annualrevenue,150000,150000.0
dim_reseller,262,263,annualrevenue,300000,300000.0
dim_reseller,263,264,annualrevenue,80000,80000.0
dim_reseller,264,265,annualrevenue,150000,150000.0
dim_reseller,265,266,annualrevenue,300000,300000.0
dim_reseller,266,267,annualrevenue,80000,80000.0
dim_reseller,267,268,annualrevenue,150000,150000.0
dim_reseller,268,269,annualrevenue,300000,300000.0
dim_reseller,269,270,annualrevenue,30000,30000.0
dim_reseller,270,271,annualrevenue,150000,150000.0
dim_reseller,271,272,annualrevenue,300000,300000.0
dim_reseller,272,273,annualrevenue,30000,30000.0
dim_reseller,273,274,annualrevenue,150000,150000.0
dim_reseller,274,275,annualrevenue,300000,300000.0
dim_reseller,275,276,annualrevenue,30000,30000.0
dim_reseller,276,277,annualrevenue,150000,150000.0
dim_reseller,277,278,annualrevenue,300000,300000.0
dim_reseller,278,279,annualrevenue,30000,30000.0
dim_reseller,279,280,annualrevenue,150000,150000.0
dim_reseller,280,281,annualrevenue,300000,300000.0
dim_reseller,281,282,annualrevenue,30000,30000.0
dim_reseller,282,283,annualrevenue,150000,150000.0
dim_reseller,283,284,annualrevenue,300000,300000.0
dim_reseller,284,285,annualrevenue,30000,30000.0
dim_reseller,285,286,annualrevenue,150000,150000.0
dim_reseller,286,287,annualrevenue,300000,300000.0
dim_reseller,287,288,annualrevenue,30000,30000.0
dim_reseller,288,289,annualrevenue,150000,150000.0
dim_reseller,289,290,annualrevenue,300000,300000.0
dim_reseller,290,291,annualrevenue,30000,30000.0
dim_reseller,291,292,annualrevenue,150000,150000.0
dim_reseller,292,293,annualrevenue,300000,300000.0
dim_reseller,293,294,annualrevenue,30000,30000.0
dim_reseller,294,295,annualrevenue,150000,150000.0
dim_reseller,295,296,annualrevenue,300000,300000.0
dim_reseller,296,297,annualrevenue,30000,30000.0
dim_reseller,297,298,annualrevenue,150000,150000.0
dim_reseller,298,299,annualrevenue,300000,300000.0
dim_reseller,299,300,annualrevenue,30000,30000.0
dim_reseller,300,301,annualrevenue,150000,150000.0
dim_reseller,301,302,annualrevenue,300000,300000.0
dim_reseller,302,303,annualrevenue,80000,80000.0
dim_reseller,303,304,annualrevenue,150000,150000.0
dim_reseller,304,305,annualrevenue,300000,300000.0
dim_reseller,305,306,annualrevenue,80000,80000.0
dim_reseller,306,307,annualrevenue,150000,150000.0
dim_reseller,307,308,annualrevenue,300000,300000.0
dim_reseller,308,309,annualrevenue,80000,80000.0
dim_reseller,309,310,annualrevenue,150000,150000.0
dim_reseller,310,311,annualrevenue,300000,300000.0
dim_reseller,311,312,annualrevenue,80000,80000.0
dim_reseller,312,313,annualrevenue,150000,150000.0
dim_reseller,313,314,annualrevenue,300000,300000.0
dim_reseller,314,315,annualrevenue,80000,80000.0
dim_reseller,315,316,annualrevenue,150000,150000.0
dim_reseller,316,317,annualrevenue,300000,300000.0
dim_reseller,317,318,annualrevenue,100000,100000.0
dim_reseller,318,319,annualrevenue,100000,100000.0
dim_reseller,319,320,annualrevenue,300000,300000.0
dim_reseller,320,321,annualrevenue,80000,80000.0
dim_reseller,321,322,annualrevenue,100000,100000.0
dim_reseller,322,323,annualrevenue,300000,300000.0
dim_reseller,323,324,annualrevenue,80000,80000.0
dim_reseller,324,325,annualrevenue,100000,100000.0
dim_reseller,325,326,annualrevenue,300000,300000.0
dim_reseller,326,327,annualrevenue,80000,80000.0
dim_reseller,327,328,annualrevenue,30000,30000.0
dim_reseller,328,329,annualrevenue,80000,80000.0
dim_reseller,329,330,annualrevenue,150000,150000.0
dim_reseller,330,331,annualrevenue,30000,30000.0
dim_reseller,331,332,annualrevenue,80000,80000.0
dim_reseller,332,333,annualrevenue,150000,150000.0
dim_reseller,333,334,annualrevenue,30000,30000.0
dim_reseller,334,335,annualrevenue,80000,80000.0
dim_reseller,335,336,annualrevenue,150000,150000.0
dim_reseller,336,337,annualrevenue,80000,80000.0
dim_reseller,337,338,annualrevenue,80000,80000.0
dim_reseller,338,339,annualrevenue,150000,150000.0
dim_reseller,339,340,annualrevenue,80000,80000.0
dim_reseller,340,341,annualrevenue,100000,100000.0
dim_reseller,341,342,annualrevenue,300000,300000.0
dim_reseller,342,343,annualrevenue,80000,80000.0
dim_reseller,343,344,annualrevenue,100000,100000.0
dim_reseller,344,345,annualrevenue,300000,300000.0
dim_reseller,345,346,annualrevenue,100000,100000.0
dim_reseller,346,347,annualrevenue,100000,100000.0
dim_reseller,347,348,annualrevenue,300000,300000.0
dim_reseller,348,349,annualrevenue,80000,80000.0
dim_reseller,349,350,annualrevenue,150000,150000.0
dim_reseller,350,351,annualrevenue,300000,300000.0
dim_reseller,351,352,annualrevenue,80000,80000.0
dim_reseller,352,353,annualrevenue,150000,150000.0
dim_reseller,353,354,annualrevenue,300000,300000.0
dim_reseller,354,355,annualrevenue,80000,80000.0
dim_reseller,355,356,annualrevenue,150000,150000.0
dim_reseller,356,357,annualrevenue,300000,300000.0
dim_reseller,357,358,annualrevenue,80000,80000.0
dim_reseller,358,359,annualrevenue,150000,150000.0
dim_reseller,359,360,annualrevenue,300000,300000.0
dim_reseller,360,361,annualrevenue,80000,80000.0
dim_reseller,361,362,annualrevenue,150000,150000.0
dim_reseller,362,363,annualrevenue,300000,300000.0
dim_reseller,363,364,annualrevenue,80000,80000.0
dim_reseller,364,365,annualrevenue,150000,150000.0
dim_reseller,365,366,annualrevenue,300000,300000.0
dim_reseller,366,367,annualrevenue,80000,80000.0
dim_reseller,367,368,annualrevenue,150000,150000.0
dim_reseller,368,369,annualrevenue,300000,300000.0
dim_reseller,369,370,annualrevenue,80000,80000.0
dim_reseller,370,371,annualrevenue,150000,150000.0
dim_reseller,371,372,annualrevenue,300000,300000.0
dim_reseller,372,373,annualrevenue,80000,80000.0
dim_reseller,373,374,annualrevenue,150000,150000.0
dim_reseller,374,375,annualrevenue,300000,300000.0
dim_reseller,375,376,annualrevenue,80000,80000.0
dim_reseller,376,377,annualrevenue,150000,150000.0
dim_reseller,377,378,annualrevenue,300000,300000.0
dim_reseller,378,379,annualrevenue,30000,30000.0
dim_reseller,379,380,annualrevenue,150000,150000.0
dim_reseller,380,381,annualrevenue,300000,300000.0
dim_reseller,381,382,annualrevenue,30000,30000.0
dim_reseller,382,383,annualrevenue,150000,150000.0
dim_reseller,383,384,annualrevenue,300000,300000.0
dim_reseller,384,385,annualrevenue,30000,30000.0
dim_reseller,385,386,annualrevenue,150000,150000.0
dim_reseller,386,387,annualrevenue,300000,300000.0
dim_reseller,387,388,annualrevenue,30000,30000.0
dim_reseller,388,389,annualrevenue,150000,150000.0
dim_reseller,389,390,annualrevenue,300000,300000.0
dim_reseller,390,391,annualrevenue,30000,30000.0
dim_reseller,391,392,annualrevenue,150000,150000.0
dim_reseller,392,393,annualrevenue,300000,300000.0
dim_reseller,393,394,annualrevenue,30000,30000.0
dim_reseller,394,395,annualrevenue,150000,150000.0
dim_reseller,395,396,annualrevenue,300000,300000.0
dim_reseller,396,397,annualrevenue,30000,30000.0
dim_reseller,397,398,annualrevenue,150000,150000.0
dim_reseller,398,399,annualrevenue,300000,300000.0
dim_reseller,399,400,annualrevenue,30000,30000.0
dim_reseller,400,401,annualrevenue,150000,150000.0
dim_reseller,401,402,annualrevenue,300000,300000.0
dim_reseller,402,403,annualrevenue,30000,30000.0
dim_reseller,403,404,annualrevenue,150000,150000.0
dim_reseller,404,405,annualrevenue,300000,300000.0
dim_reseller,405,406,annualrevenue,30000,30000.0
dim_reseller,406,407,annualrevenue,150000,150000.0
dim_reseller,407,408,annualrevenue,300000,300000.0
dim_reseller,408,409,annualrevenue,30000,30000.0
dim_reseller,409,410,annualrevenue,150000,150000.0
dim_reseller,410,411,annualrevenue,300000,300000.0
dim_reseller,411,412,annualrevenue,80000,80000.0
dim_reseller,412,413,annualrevenue,150000,150000.0
dim_reseller,413,414,annualrevenue,300000,300000.0
dim_reseller,414,415,annualrevenue,80000,80000.0
dim_reseller,415,416,annualrevenue,150000,150000.0
dim_reseller,416,417,annualrevenue,300000,300000.0
dim_reseller,417,418,annualrevenue,80000,80000.0
dim_reseller,418,419,annualrevenue,150000,150000.0
dim_reseller,419,420,annualrevenue,300000,300000.0
dim_reseller,420,421,annualrevenue,80000,80000.0
dim_reseller,421,422,annualrevenue,150000,150000.0
dim_reseller,422,423,annualrevenue,300000,300000.0
dim_reseller,423,424,annualrevenue,80000,80000.0
dim_reseller,424,425,annualrevenue,150000,150000.0
dim_reseller,425,426,annualrevenue,300000,300000.0
dim_reseller,426,427,annualrevenue,100000,100000.0
dim_reseller,427,428,annualrevenue,100000,100000.0
dim_reseller,428,429,annualrevenue,300000,300000.0
dim_reseller,429,430,annualrevenue,80000,80000.0
dim_reseller,430,431,annualrevenue,100000,100000.0
dim_reseller,431,432,annualrevenue,300000,300000.0
dim_reseller,432,433,annualrevenue,80000,80000.0
dim_reseller,433,434,annualrevenue,100000,100000.0
dim_reseller,434,435,annualrevenue,300000,300000.0
dim_reseller,435,436,annualrevenue,80000,80000.0
dim_reseller,436,437,annualrevenue,30000,30000.0
dim_reseller,437,438,annualrevenue,80000,80000.0
dim_reseller,438,439,annualrevenue,150000,150000.0
dim_reseller,439,440,annualrevenue,30000,30000.0
dim_reseller,440,441,annualrevenue,80000,80000.0
dim_reseller,441,442,annualrevenue,150000,150000.0
dim_reseller,442,443,annualrevenue,30000,30000.0
dim_reseller,443,444,annualrevenue,80000,80000.0
dim_reseller,444,445,annualrevenue,150000,150000.0
dim_reseller,445,446,annualrevenue,80000,80000.0
dim_reseller,446,447,annualrevenue,80000,80000.0
dim_reseller,447,448,annualrevenue,150000,150000.0
dim_reseller,448,449,annualrevenue,80000,80000.0
dim_reseller,449,450,annualrevenue,100000,100000.0
dim_reseller,450,451,annualrevenue,300000,300000.0
dim_reseller,451,452,annualrevenue,80000,80000.0
dim_reseller,452,453,annualrevenue,100000,100000.0
dim_reseller,453,454,annualrevenue,300000,300000.0
dim_reseller,454,455,annualrevenue,100000,100000.0
dim_reseller,455,456,annualrevenue,100000,100000.0
dim_reseller,456,457,annualrevenue,300000,300000.0
dim_reseller,457,458,annualrevenue,80000,80000.0
dim_reseller,458,459,annualrevenue,150000,150000.0
dim_reseller,459,460,annualrevenue,300000,300000.0
dim_reseller,460,461,annualrevenue,80000,80000.0
dim_reseller,461,462,annualrevenue,150000,150000.0
dim_reseller,462,463,annualrevenue,300000,300000.0
dim_reseller,463,464,annualrevenue,80000,80000.0
dim_reseller,464,465,annualrevenue,150000,150000.0
dim_reseller,465,466,annualrevenue,300000,300000.0
dim_reseller,466,467,annualrevenue,80000,80000.0
dim_reseller,467,468,annualrevenue,150000,150000.0
dim_reseller,468,469,annualrevenue,300000,300000.0
dim_reseller,469,470,annualrevenue,80000,80000.0
dim_reseller,470,471,annualrevenue,150000,150000.0
dim_reseller,471,472,annualrevenue,300000,300000.0
dim_reseller,472,473,annualrevenue,80000,80000.0
dim_reseller,473,474,annualrevenue,150000,150000.0
dim_reseller,474,475,annualrevenue,300000,300000.0
dim_reseller,475,476,annualrevenue,80000,80000.0
dim_reseller,476,477,annualrevenue,150000,150000.0
dim_reseller,477,478,annualrevenue,300000,300000.0
dim_reseller,478,479,annualrevenue,80000,80000.0
dim_reseller,479,480,annualrevenue,150000,150000.0
dim_reseller,480,481,annualrevenue,300000,300000.0
dim_reseller,481,482,annualrevenue,80000,80000.0
dim_reseller,482,483,annualrevenue,150000,150000.0
dim_reseller,483,484,annualrevenue,300000,300000.0
dim_reseller,484,485,annualrevenue,80000,80000.0
dim_reseller,485,486,annualrevenue,150000,150000.0
dim_reseller,486,487,annualrevenue,300000,300000.0
dim_reseller,487,488,annualrevenue,30000,30000.0
dim_reseller,488,489,annualrevenue,150000,150000.0
dim_reseller,489,490,annualrevenue,300000,300000.0
dim_reseller,490,491,annualrevenue,30000,30000.0
dim_reseller,491,492,annualrevenue,150000,150000.0
dim_reseller,492,493,annualrevenue,300000,300000.0
dim_reseller,493,494,annualrevenue,30000,30000.0
dim_reseller,494,495,annualrevenue,150000,150000.0
